"person","item_MR05","item_MR01","item_MR08","item_MR07","item_MR02","item_MR03","item_MR04","item_MR10","item_MR09","item_MR06"
1773,0,0,0,0,0,0,0,0,0,0
1774,1,1,0,1,1,1,1,1,0,1
1775,0,1,0,0,0,0,0,0,0,0
1776,0,1,0,0,0,0,0,0,0,1
1777,1,1,1,1,1,1,1,1,1,1
1779,0,1,0,0,1,1,1,0,0,0
1781,1,1,1,0,1,1,1,1,1,1
1782,0,1,0,0,0,1,1,0,0,0
1783,0,0,0,0,1,0,0,0,0,0
1784,1,1,0,1,1,1,1,1,1,1
1785,1,0,1,1,0,0,1,0,0,0
1786,1,1,0,0,1,1,1,0,0,0
1787,0,1,0,0,0,1,1,0,0,0
1788,1,1,1,0,1,1,1,0,1,1
1789,0,0,0,0,0,0,0,0,0,0
1790,0,0,0,0,0,0,0,0,0,0
1791,0,1,0,0,0,0,0,0,0,0
1792,1,1,0,0,1,0,1,0,0,0
1793,0,0,0,0,0,0,0,0,0,0
1794,1,1,1,1,1,1,0,1,1,1
1795,0,1,0,0,1,1,1,0,0,1
1796,0,0,0,0,0,0,0,0,0,0
1797,0,1,0,0,0,0,0,0,0,0
1798,1,1,1,1,1,1,1,0,1,0
1799,1,1,1,1,1,1,1,1,1,1
1800,0,0,0,0,0,0,0,0,0,0
1801,1,1,1,1,1,1,1,0,1,1
1803,0,0,0,0,0,0,0,0,0,0
1804,0,1,0,0,0,0,0,0,0,0
1805,0,1,0,1,0,1,0,0,0,1
1806,1,1,1,1,1,1,1,0,0,1
1807,1,1,0,0,1,1,1,0,0,1
1808,0,1,1,1,1,1,1,0,0,1
1809,1,1,1,0,0,1,1,0,0,0
1810,0,1,0,0,0,0,0,0,0,0
1811,1,1,1,1,1,1,1,0,1,1
1814,0,0,0,0,0,0,0,0,0,0
1815,0,1,0,1,1,1,1,0,0,1
1816,0,0,0,0,0,0,0,0,0,0
1817,0,1,0,0,0,1,1,0,0,0
1818,0,1,0,0,0,0,0,0,0,0
1819,0,0,0,0,0,0,0,0,0,0
1820,0,0,0,0,0,0,0,0,0,0
1821,0,1,0,0,0,0,0,0,0,0
1822,0,0,0,0,0,0,0,0,0,0
1823,0,1,0,0,0,0,0,0,0,0
1824,0,1,0,0,0,1,0,0,0,0
1825,0,0,0,0,0,0,0,0,0,0
1826,0,1,0,0,1,0,0,0,0,0
1827,1,1,1,1,1,1,1,1,1,1
1828,0,1,0,0,1,1,1,0,0,0
1829,0,1,1,1,1,1,1,0,0,0
1831,1,1,0,1,1,1,1,1,1,1
1832,0,1,0,0,0,0,0,0,0,0
1834,1,1,1,0,1,1,1,0,1,1
1835,1,1,1,1,1,1,1,1,0,1
1836,1,1,1,1,1,1,1,1,1,1
1837,0,1,0,NA,0,0,1,0,0,0
1838,1,1,1,1,1,1,1,1,1,1
1839,1,1,0,1,1,1,1,0,0,0
1840,1,1,1,1,1,1,1,1,1,1
1841,1,1,1,1,1,1,1,0,1,1
1842,0,0,0,0,0,0,0,0,0,0
1843,1,1,1,1,0,1,0,0,1,1
1844,0,1,0,0,0,0,0,0,0,0
1846,1,1,1,1,1,1,1,1,1,1
1847,1,1,1,0,1,1,1,1,1,1
1848,1,1,1,1,1,1,1,0,1,1
1849,1,1,1,1,1,1,1,1,1,1
1850,0,0,0,0,0,0,0,0,0,0
1851,0,0,0,0,0,0,0,0,0,0
1852,1,1,1,1,1,1,1,0,0,0
1853,0,1,0,1,0,1,1,0,0,0
1854,NA,1,0,0,0,0,0,0,0,0
1855,0,1,0,0,0,0,0,0,0,0
1856,0,0,0,0,0,0,0,0,0,0
1857,0,1,0,0,0,0,0,0,0,0
1860,0,1,0,0,0,0,0,0,0,0
1861,0,1,0,0,0,1,0,0,0,0
1863,1,1,1,0,1,1,1,0,1,1
1864,1,1,1,1,1,1,1,0,0,1
1865,0,1,0,0,0,1,0,0,0,0
1867,1,1,1,1,1,1,0,1,0,1
1870,0,1,0,0,1,0,1,1,1,0
1871,0,1,0,0,0,0,0,0,0,0
1873,0,1,0,0,0,1,1,0,0,0
1874,0,1,0,0,0,0,0,0,0,0
1875,0,1,1,0,1,1,1,0,1,1
1876,0,1,0,0,0,1,0,0,0,0
1877,1,1,1,0,1,1,1,0,1,1
1878,1,1,1,0,0,1,0,0,0,0
1880,0,1,0,0,1,0,0,0,0,0
1881,1,1,1,1,1,1,1,1,1,1
1882,0,0,0,0,0,0,0,0,0,0
1883,0,1,0,0,1,0,0,0,0,0
1884,0,1,0,0,0,0,0,0,0,0
1885,0,0,0,0,0,0,0,0,0,0
1886,0,1,0,0,1,0,0,0,1,1
1887,1,1,1,1,1,1,1,1,1,0
1888,0,1,1,0,0,1,1,0,1,1
1889,0,1,0,0,0,0,0,0,0,0
1890,0,0,0,0,0,0,0,0,0,0
1891,0,1,0,0,0,1,1,0,0,0
1892,0,0,0,0,0,0,0,0,0,0
1894,0,1,0,0,0,0,0,0,0,0
1895,1,1,1,1,1,1,1,1,1,1
1896,0,1,0,0,0,1,1,0,0,0
1897,0,1,0,0,0,0,0,0,0,0
1898,1,1,1,0,0,1,1,0,0,0
1899,1,1,1,1,1,1,1,1,1,1
1900,0,1,0,0,0,0,0,0,0,0
1901,1,1,1,1,1,1,1,0,0,1
1902,1,1,1,1,1,1,1,1,1,1
1903,0,1,0,0,0,1,1,0,0,0
1904,0,0,0,0,0,0,0,0,0,0
1905,1,1,0,0,0,0,0,0,0,0
1906,1,1,1,1,0,1,1,1,1,1
1907,1,1,1,0,1,1,1,0,0,1
1908,1,1,0,0,0,0,0,0,0,1
1909,0,0,0,0,0,0,0,0,0,0
1910,1,1,1,1,1,1,1,1,1,1
1911,0,0,0,0,0,0,0,0,0,0
1912,1,1,1,1,1,1,1,1,0,1
1913,0,1,1,1,1,1,1,1,1,1
1914,0,1,0,0,1,1,0,0,0,0
1915,0,0,0,0,0,0,0,0,0,0
1916,0,0,0,0,1,0,1,0,0,0
1917,1,1,1,1,1,1,1,1,1,1
1918,0,1,0,1,0,0,0,0,0,0
1919,0,0,0,0,0,0,1,0,0,0
1920,1,1,1,1,1,1,1,0,0,1
1922,0,1,0,0,0,1,0,0,0,0
1923,0,1,0,0,0,0,0,0,0,0
1924,1,1,1,1,1,1,1,0,1,1
1925,1,1,1,1,1,1,1,0,1,1
1926,1,1,1,1,1,1,0,1,0,1
1927,0,0,0,0,0,0,0,0,0,0
1928,1,1,1,1,1,1,1,0,1,0
1929,0,0,0,0,0,0,0,0,0,0
1930,0,1,0,0,1,1,0,0,0,0
1931,0,1,0,0,0,0,0,0,0,0
1933,0,0,0,0,0,0,0,0,0,0
1934,0,1,1,1,1,1,1,0,0,1
1935,0,0,0,0,0,0,0,0,0,0
1937,0,0,0,0,0,0,0,0,0,0
1938,1,1,1,1,1,1,1,1,1,1
1939,1,1,1,1,1,1,1,1,1,1
1940,1,1,1,1,1,1,1,0,1,1
1941,0,0,0,0,0,0,0,0,0,0
1942,0,1,1,1,1,1,1,0,1,1
1943,1,1,1,0,0,1,1,0,1,1
1944,1,1,1,1,1,1,1,1,1,1
1946,1,1,1,0,1,1,0,0,0,0
1948,0,1,0,1,0,1,0,0,0,0
1950,0,0,0,0,0,0,0,0,0,0
1951,0,1,0,0,0,0,0,0,0,0
1952,1,1,0,0,1,1,1,0,1,1
1953,1,1,0,1,1,1,1,0,0,0
1954,1,1,0,1,1,0,1,1,1,1
1955,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0,0,0
1959,0,1,0,0,0,0,0,0,0,0
